Area,Area%,Crop Type,CropID,ETa,ETa90,ETblue,ETcv,ETcv_blue,ETgreen,Name,Precip,RETmax,RETmin,Season,TBP,TBP_P,status,year,Water Intensive (based on Etp)
6.783279737,0.1,Triple Crop,7,762,973,241,0.120817945,0.790952241,520,Ong,1163,,,0,9935,14435,IRRIGATED,2020,1
251.174209,2.4,Perennial Crops,8,1011,1197,231,0.120817945,0.790952241,777,Ong,1740,,,0,16052,19027,IRRIGATED,2020,1
46.67483737,1.8,Other Irrigated (Less Water Intensive),15,267,349,68,0.130117304,0.313822732,199,Ong,58,,,3,2949,3262,IRRIGATED,2021,1
81.54019085,3.2,Class1,31,318,449,119,0.130117304,0.313822732,198,Ong,115,,,3,2778,3601,IRRIGATED,2021,1
1482.552325,58.7,Other Irrigated (High Water Intensive),14,474,569,244,0.130117304,0.313822732,229,Ong,170,,,3,2889,3865,IRRIGATED,2021,1
744.458758,29.5,Class4,34,443,545,218,0.130117304,0.313822732,224,Ong,173,,,3,2884,4174,IRRIGATED,2021,1
38.39233945,0.4,Other Irrigated (High Water Intensive),14,293,338,122,0.212501624,0.658314153,169,Ong,1040,,,1,4500,4695,IRRIGATED,2021,1
151.8053475,1.7,Other Irrigated (Less Water Intensive),15,243,274,73,0.212501624,0.658314153,168,Ong,1016,,,1,4153,4750,IRRIGATED,2021,0
58.53356813,0.7,Other Irrigated (Less Water Intensive),15,241,328,31,0.043937358,0.424790395,206,Ong,91,,,2,5959,9237,IRRIGATED,2021,1
14.38359986,0.2,Double Crop Rabi/Zaid,6,741,870,290,0.124434267,0.871143462,446,Ong,275,,,0,9383,12174,IRRIGATED,2021,1
4053.792942,44.9,Kharif Crop,1,420,509,60,0.124434267,0.871143462,356,Ong,943,,,0,8714,12325,IRRIGATED,2021,1
33.56907761,0.4,Rabi Crop,2,311,549,48,0.124434267,0.871143462,257,Ong,111,,,0,7441,12364,IRRIGATED,2021,1
11.20921412,0.1,Triple Crop,7,786,953,288,0.124434267,0.871143462,484,Ong,947,,,0,10118,12563,IRRIGATED,2021,1
2093.72279,23.2,Double Crop Kharif/Zaid,5,853,995,276,0.124434267,0.871143462,569,Ong,1104,,,0,11173,13279,IRRIGATED,2021,1
67.45554487,0.7,Double Crop Kharif/Rabi,4,481,665,64,0.124434267,0.871143462,404,Ong,910,,,0,10517,14982,IRRIGATED,2021,1
561.8832669,6.2,Perennial Crops,8,891,1113,209,0.124434267,0.871143462,666,Ong,1281,,,0,15762,17790,IRRIGATED,2021,1
2492.169232,54.4,Other Irrigated (High Water Intensive),14,450,557,203,0.142745062,0.393241615,246,Ong,74,,,3,3842,4903,IRRIGATED,2022,1
271.3482995,5.9,Other Irrigated (Less Water Intensive),15,284,340,79,0.142745062,0.393241615,205,Ong,55,,,3,2455,3540,IRRIGATED,2022,1
150.6574498,3.3,Class1,31,318,417,116,0.142745062,0.393241615,201,Ong,57,,,3,2562,4201,IRRIGATED,2022,1
1341.716682,29.3,Class4,34,393,517,160,0.142745062,0.393241615,233,Ong,69,,,3,3447,5135,IRRIGATED,2022,1
41.66988339,0.3,Other Irrigated (Less Water Intensive),15,252,352,27,0.04234814,0.474102837,220,Ong,120,,,2,7042,9890,IRRIGATED,2022,1
20.9096614,0.2,Other Irrigated (High Water Intensive),14,337,366,123,0.131231891,0.641361065,213,Ong,1243,,,1,4461,4598,IRRIGATED,2022,1
224.7888074,1.7,Other Irrigated (Less Water Intensive),15,280,304,65,0.131231891,0.641361065,212,Ong,1216,,,1,5013,5306,IRRIGATED,2022,1
