system:index,Area,Area%,Crop Type,CropID,ETa,ETa90,ETblue,ETcv,ETcv_blue,ETgreen,Name,Precip,RETmax,RETmin,Season,TBP,TBP_P,status,year,.geo
1_2_00000000000000000009,11.209214118742098,0.1,Triple Crop,7,786,953,288,0.12443426692485401,0.8711434624055067,484,Ong,947,,,0,10118,12563,IRRIGATED,2021,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_2_00000000000000000006,2093.722790391308,23.2,Double Crop Kharif/Zaid,5,853,995,276,0.12443426692485401,0.8711434624055067,569,Ong,1104,,,0,11173,13279,IRRIGATED,2021,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_2_00000000000000000004,67.45554486851107,0.7,Double Crop Kharif/Rabi,4,481,665,64,0.12443426692485401,0.8711434624055067,404,Ong,910,,,0,10517,14982,IRRIGATED,2021,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_2_0000000000000000000a,561.8832669416236,6.2,Perennial Crops,8,891,1113,209,0.12443426692485401,0.8711434624055067,666,Ong,1281,,,0,15762,17790,IRRIGATED,2021,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
2_0000000000000000001a,2492.1692321389482,54.4,Other Irrigated (High Water Intensive),14,450,557,203,0.14274506206635462,0.39324161460959717,246,Ong,74,,,3,3842,4903,IRRIGATED,2022,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
2_0000000000000000001c,271.3482994931089,5.9,Other Irrigated (Less Water Intensive),15,284,340,79,0.14274506206635462,0.39324161460959717,205,Ong,55,,,3,2455,3540,IRRIGATED,2022,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
2_0000000000000000001f,150.65744978607762,3.3,Class1,31,318,417,116,0.14274506206635462,0.39324161460959717,201,Ong,57,,,3,2562,4201,IRRIGATED,2022,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
2_00000000000000000021,1341.7166818419378,29.3,Class4,34,393,517,160,0.14274506206635462,0.39324161460959717,233,Ong,69,,,3,3447,5135,IRRIGATED,2022,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
2_00000000000000000013,41.66988339493994,0.3,Other Irrigated (Less Water Intensive),15,252,352,27,0.04234814008008007,0.4741028366273812,220,Ong,120,,,2,7042,9890,IRRIGATED,2022,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
2_00000000000000000009,20.909661400376855,0.2,Other Irrigated (High Water Intensive),14,337,366,123,0.13123189100161747,0.6413610654045564,213,Ong,1243,,,1,4461,4598,IRRIGATED,2022,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
